Province/State,Country/Region,Lat,Long,Jan,Feb,Mar,April,May,June,July
Prince Edward Island,Canada,46.5107,-63.4168,0,0,0,0,0,0,0
Quebec,Canada,52.9399,-73.5491,0,0,31,1859,4641,5503,5674
Saskatchewan,Canada,52.9399,-106.4509,0,0,2,7,11,13,18
,Central African Republic,6.6111,20.9394,0,0,0,0,2,47,59
,Chad,15.4542,18.7322,0,0,0,5,65,74,75
,Chile,-35.6751,-71.543,0,0,12,227,1054,5688,9457
Anhui,China,31.8257,117.2264,0,6,6,6,6,6,6
Beijing,China,40.1824,116.4142,1,8,8,9,9,9,9
Chongqing,China,30.0572,107.874,0,6,6,6,6,6,6
Fujian,China,26.0789,117.9874,0,1,1,1,1,1,1
Gansu,China,35.7518,104.2861,0,2,2,2,2,2,2
Guangdong,China,23.3417,113.4244,0,7,8,8,8,8,8
Guangxi,China,23.8298,108.7881,0,2,2,2,2,2,2
Guizhou,China,26.8154,106.8748,0,2,2,2,2,2,2
Hainan,China,19.1959,109.7453,1,5,6,6,6,6,6
Hebei,China,39.549,116.1306,1,6,6,6,6,6,6
Heilongjiang,China,47.862,127.7615,2,13,13,13,13,13,13
Henan,China,37.8957,114.9042,2,21,22,22,22,22,22
Hong Kong,China,22.3,114.2,0,2,4,4,4,7,27
Hubei,China,30.9756,112.2707,204,2727,3187,4512,4512,4512,4512
Hunan,China,27.6104,111.7088,0,4,4,4,4,4,4
Inner Mongolia,China,44.0935,113.9448,0,0,1,1,1,1,1
Jiangsu,China,32.9711,119.455,0,0,0,0,0,0,0
Jiangxi,China,27.614,115.7221,0,1,1,1,1,1,1
Jilin,China,43.6661,126.1923,0,1,1,1,2,2,2
Liaoning,China,41.2956,122.6085,0,1,2,2,2,2,2
Macau,China,22.1667,113.55,0,0,0,0,0,0,0
Ningxia,China,37.2692,106.1655,0,0,0,0,0,0,0
Qinghai,China,35.7452,95.9956,0,0,0,0,0,0,0
Shaanxi,China,35.1917,108.8701,0,1,3,3,3,3,3
Shandong,China,36.3427,118.1498,0,6,7,7,7,7,7
Shanghai,China,31.202,121.4491,1,3,5,7,7,7,7
Shanxi,China,37.5777,112.2922,0,0,0,0,0,0,0
Sichuan,China,30.6171,102.7103,1,3,3,3,3,3,3
Tianjin,China,39.3054,117.323,0,3,3,3,3,3,3
Tibet,China,31.6927,88.0924,0,0,0,0,0,0,0
Xinjiang,China,41.1129,85.2401,0,3,3,3,3,3,3
Yunnan,China,24.974,101.487,0,2,2,2,2,2,2
Zhejiang,China,29.1832,120.0934,0,1,1,1,1,1,1
,Colombia,4.5709,-74.2973,0,0,16,293,939,3334,10105
,Congo (Brazzaville),-0.228,15.8277,0,0,0,9,20,37,54
,Congo (Kinshasa),-4.0383,21.7587,0,0,8,31,72,170,215
,Costa Rica,9.7489,-83.7534,0,0,2,6,10,16,150
,Cote d'Ivoire,7.54,-5.5471,0,0,1,14,33,68,102
,Croatia,45.1,15.2,0,0,6,69,103,107,145
,Diamond Princess,0,0,0,6,10,13,13,13,13
,Cuba,21.521757,-77.781167,0,0,6,61,83,86,87
,Cyprus,35.1264,33.4299,0,0,8,15,17,19,19
,Czechia,49.8175,15.473,0,0,31,236,320,349,382
Faroe Islands,Denmark,61.8926,-6.9118,0,0,0,0,0,0,0
Greenland,Denmark,71.7069,-42.6043,0,0,0,0,0,0,0
,Denmark,56.2639,9.5018,0,0,90,452,574,605,615
,Djibouti,11.8251,42.5903,0,0,0,2,24,54,58
,Dominican Republic,18.7357,-70.1627,0,0,51,301,502,747,1160
,Ecuador,-1.8312,-78.1834,0,0,75,900,3358,4527,5702
,Egypt,26.820553,30.802498,0,0,46,392,959,2953,4805
,El Salvador,13.7942,-88.8965,0,0,1,10,46,174,448
,Equatorial Guinea,1.6508,10.2679,0,0,0,1,12,32,83
,Eritrea,15.1794,39.7823,0,0,0,0,0,0,0
,Estonia,58.5953,25.0136,0,0,4,52,68,69,69
,Eswatini,-26.5225,31.4659,0,0,0,1,2,11,41
,Ethiopia,9.145,40.4897,0,0,0,3,11,103,274
,Fiji,-17.7134,178.065,0,0,0,0,0,0,1
,Finland,61.92411,25.748151,0,0,17,211,320,328,329
French Guiana,France,3.9339,-53.1258,0,0,0,1,1,15,43
French Polynesia,France,-17.6797,149.4068,0,0,0,0,0,0,0
Guadeloupe,France,16.265,-61.551,0,0,4,12,14,14,14
Mayotte,France,-12.8275,45.166244,0,0,1,4,21,35,39
New Caledonia,France,-20.904305,165.618042,0,0,0,0,0,0,0
Reunion,France,-21.1151,55.5364,0,0,0,0,1,2,4
Saint Barthelemy,France,17.9,-62.8333,0,0,0,0,0,0,0
St Martin,France,18.0708,-63.0501,0,0,1,3,3,3,3
Martinique,France,14.6415,-61.0242,0,0,3,14,14,14,15
,France,46.2276,2.2137,0,2,3523,24345,28751,29763,30150
,Gabon,-0.8037,11.6094,0,0,1,3,17,42,49
,Gambia,13.4432,-15.3101,0,0,1,1,1,2,9
,Georgia,42.3154,43.3569,0,0,0,6,12,15,17
,Germany,51.165691,10.451526,0,0,775,6623,8540,8990,9147
,Ghana,7.9465,-1.0232,0,0,5,17,36,112,182
,Greece,39.0742,21.8243,0,0,49,140,175,192,206
,Guatemala,15.7835,-90.2308,0,0,1,16,108,773,1924
,Guinea,9.9456,-9.6966,0,0,0,7,23,33,46
,Guyana,4.860416,-58.93018,0,0,2,9,12,12,20
,Haiti,18.9712,-72.2852,0,0,0,8,44,105,161
,Holy See,41.9029,12.4534,0,0,0,0,0,0,0
,Honduras,15.2,-86.2419,0,0,7,71,212,497,1337
,Hungary,47.1625,19.5033,0,0,16,312,526,585,596
,Iceland,64.9631,-19.0208,0,0,2,10,10,10,10
,India,20.593684,78.96288,0,0,35,1154,5408,17400,36511
,Indonesia,-0.7893,113.9213,0,0,136,792,1613,2876,5131
,Iran,32.427908,53.688046,0,43,2898,6028,7797,10817,16766
,Iraq,33.223191,43.679291,0,0,50,93,205,1943,4741
,Ireland,53.1424,-7.6921,0,0,71,1232,1652,1736,1763
,Israel,31.046051,34.851612,0,0,20,222,285,320,512
,Italy,41.87194,12.56738,0,29,12428,27967,33415,34767,35141
,Jamaica,18.1096,-77.2975,0,0,1,8,9,10,10
,Japan,36.204824,138.252924,0,6,67,481,898,972,1008
,Jordan,31.24,36.51,0,0,5,8,9,9,11
,Kazakhstan,48.0196,66.9237,0,0,2,25,40,188,793
,Kenya,-0.0236,37.9062,0,0,1,17,64,148,341
,"Korea, South",35.907757,127.766922,0,16,162,248,271,282,301
,Kuwait,29.31166,47.481766,0,0,0,26,212,354,447
,Kyrgyzstan,41.20438,74.766098,0,0,0,8,16,61,1378
,Latvia,56.8796,24.6032,0,0,0,15,24,30,32
,Lebanon,33.8547,35.8623,0,0,12,24,27,34,61
,Liberia,6.428055,-9.429499,0,0,0,16,27,36,75
,Liechtenstein,47.14,9.55,0,0,0,1,1,1,1
,Lithuania,55.1694,23.8813,0,0,8,45,70,78,80
,Luxembourg,49.8153,6.1296,0,0,23,90,110,110,114
,Madagascar,-18.766947,46.869107,0,0,0,0,6,20,106
,Malaysia,4.210484,101.975766,0,0,43,102,115,121,125
,Maldives,3.2028,73.2207,0,0,0,1,5,9,16
,Malta,35.9375,14.3754,0,0,0,4,9,9,9
,Mauritania,21.0079,-10.9408,0,0,1,1,23,129,157
,Mauritius,-20.348404,57.552152,0,0,5,10,10,10,10
,Mexico,23.6345,-102.5528,0,0,29,1859,9930,27769,46688
,Moldova,47.4116,28.3699,0,0,4,116,295,545,778
,Monaco,43.7333,7.4167,0,0,1,4,4,4,4
,Mongolia,46.8625,103.8467,0,0,0,0,0,0,0
,Montenegro,42.708678,19.37439,0,0,2,7,9,12,48
,Morocco,31.7917,-7.0926,0,0,36,170,205,228,353
,Namibia,-22.9576,18.4904,0,0,0,0,0,0,10
,Nepal,28.1667,84.25,0,0,0,0,8,29,56
Aruba,Netherlands,12.5211,-69.9683,0,0,0,2,3,3,3
Curacao,Netherlands,12.1696,-68.99,0,0,1,1,1,1,1
Sint Maarten,Netherlands,18.0425,-63.0548,0,0,0,13,15,15,15
,Netherlands,52.1326,5.2913,0,0,1039,4795,5956,6113,6147
,New Zealand,-40.9006,174.886,0,0,1,19,22,22,22
,Nicaragua,12.865416,-85.207229,0,0,1,3,35,83,116
,Niger,17.607789,8.081666,0,0,3,32,64,67,69
,Nigeria,9.082,8.6753,0,0,2,58,287,590,879
,North Macedonia,41.6086,21.7453,0,0,9,77,133,302,486
,Norway,60.472,8.4689,0,0,39,210,236,250,255
,Oman,21.512583,55.923255,0,0,1,11,49,176,421
,Pakistan,30.3753,69.3451,0,0,27,417,1543,4395,5951
,Panama,8.538,-80.7821,0,0,30,188,336,631,1421
,Papua New Guinea,-6.314993,143.95555,0,0,0,0,0,0,2
,Paraguay,-23.4425,-58.4438,0,0,3,10,11,17,49
,Peru,-9.19,-75.0152,0,0,30,1051,4506,9677,19021
,Philippines,12.879721,121.774017,0,1,88,568,957,1266,2023
,Poland,51.9194,19.1451,0,0,33,644,1064,1463,1716
,Portugal,39.3999,-8.2245,0,0,160,989,1410,1576,1735
,Qatar,25.3548,51.1839,0,0,2,10,38,113,174
,Romania,45.9432,24.9668,0,0,82,717,1266,1651,2343
,Russia,61.52401,105.318756,0,0,17,1073,4693,9306,13939
,Rwanda,-1.9403,29.8739,0,0,0,0,1,2,5
,Saint Lucia,13.9094,-60.9789,0,0,0,0,0,0,0
,Saint Vincent and the Grenadines,12.9843,-61.2872,0,0,0,0,0,0,0
,San Marino,43.9424,12.4578,0,0,26,41,42,42,42
,Saudi Arabia,23.885942,45.079162,0,0,10,162,503,1649,2866
,Senegal,14.4974,-14.4524,0,0,0,9,42,112,205
,Serbia,44.0165,21.0059,0,0,16,179,243,277,573
,Seychelles,-4.6796,55.492,0,0,0,0,0,0,0
,Singapore,1.2833,103.8333,0,0,3,15,23,26,27
,Slovakia,48.669,19.699,0,0,0,23,28,28,29
,Slovenia,46.1512,14.9955,0,0,15,91,108,111,119
,Somalia,5.152149,46.199616,0,0,0,28,78,90,93
,South Africa,-30.5595,22.9375,0,0,5,103,683,2657,8005
,Spain,40.463667,-3.74922,0,0,8464,24543,27127,28355,28445
,Sri Lanka,7.873054,80.771797,0,0,2,7,10,11,11
,Sudan,12.8628,30.2176,0,0,2,31,286,572,746
,Suriname,3.9193,-56.0278,0,0,0,1,1,13,26
,Sweden,60.128161,18.643501,0,0,180,2586,4395,5333,5743
,Switzerland,46.8182,8.2275,0,0,433,1737,1920,1963,1981
,Taiwan*,23.7,121,0,1,5,6,7,7,7
,Tanzania,-6.369028,34.888822,0,0,1,16,21,21,21
,Thailand,15.870032,100.992541,0,0,10,54,57,58,58
,Togo,8.6195,0.8248,0,0,1,9,13,14,19
,Trinidad and Tobago,10.6918,-61.2225,0,0,3,8,8,8,8
,Tunisia,33.886917,9.537499,0,0,10,41,48,50,50
,Turkey,38.9637,35.2433,0,0,214,3174,4540,5131,5691
,Uganda,1.373333,32.290275,0,0,0,0,0,0,3
,Ukraine,48.3794,31.1656,0,0,17,261,708,1173,1717
,United Arab Emirates,23.424076,53.847818,0,0,6,105,264,315,351
Bermuda,United Kingdom,32.3078,-64.7505,0,0,0,6,9,9,9
Cayman Islands,United Kingdom,19.3133,-81.2546,0,0,1,1,1,1,1
Channel Islands,United Kingdom,49.3723,-2.3644,0,0,3,40,45,47,47
Gibraltar,United Kingdom,36.1408,-5.3536,0,0,0,0,0,0,0
Isle of Man,United Kingdom,54.2361,-4.5481,0,0,0,21,24,24,24
Montserrat,United Kingdom,16.742498,-62.187366,0,0,0,1,1,1,1
,United Kingdom,55.3781,-3.436,0,0,2426,26788,39010,43730,46119
,Uruguay,-32.5228,-55.7658,0,0,1,17,22,27,35
,US,40,-100,0,1,5605,64256,105364,127432,153315
,Uzbekistan,41.377491,64.585262,0,0,2,9,15,26,141
,Venezuela,6.4238,-66.5897,0,0,3,16,14,51,164
,Vietnam,14.058324,108.277199,0,0,0,0,0,0,3
,Zambia,-13.133897,27.849332,0,0,0,3,7,24,151
,Zimbabwe,-19.015438,29.154857,0,0,1,4,4,7,67
Diamond Princess,Canada,0,0,0,0,1,1,1,1,1
,Dominica,15.415,-61.371,0,0,0,0,0,0,0
,Grenada,12.1165,-61.679,0,0,0,0,0,0,0
,Mozambique,-18.665695,35.529562,0,0,0,0,2,6,11
,Syria,34.802075,38.996815,0,0,2,3,5,9,43
,Timor-Leste,-8.874217,125.727539,0,0,0,0,0,0,0
,Belize,17.1899,-88.4976,0,0,0,2,2,2,2
,Laos,19.85627,102.495496,0,0,0,0,0,0,0
,Libya,26.3351,17.228331,0,0,0,3,5,24,74
,West Bank and Gaza,31.9522,35.2332,0,0,1,2,3,8,82
,Guinea-Bissau,11.8037,-15.1804,0,0,0,1,8,24,26
,Mali,17.570692,-3.996166,0,0,2,26,77,116,124
,Saint Kitts and Nevis,17.357822,-62.782998,0,0,0,0,0,0,0
Northwest Territories,Canada,64.8255,-124.8457,0,0,0,0,0,0,0
Yukon,Canada,64.2823,-135,0,0,0,0,0,0,0
,Kosovo,42.602636,20.902977,0,0,1,22,30,49,212
,Burma,21.9162,95.956,0,0,1,6,6,6,6
Anguilla,United Kingdom,18.2206,-63.0686,0,0,0,0,0,0,0
British Virgin Islands,United Kingdom,18.4207,-64.64,0,0,0,1,1,1,1
Turks and Caicos Islands,United Kingdom,21.694,-71.7979,0,0,0,1,1,2,2
,MS Zaandam,0,0,0,0,0,2,2,2,2
,Botswana,-22.3285,24.6849,0,0,1,1,1,1,2
,Burundi,-3.3731,29.9189,0,0,0,1,1,1,1
,Sierra Leone,8.460555,-11.779889,0,0,0,7,46,60,67
"Bonaire, Sint Eustatius and Saba",Netherlands,12.1784,-68.2385,0,0,0,0,0,0,0
,Malawi,-13.2543,34.3015,0,0,0,3,4,14,114
Falkland Islands (Malvinas),United Kingdom,-51.7963,-59.5236,0,0,0,0,0,0,0
Saint Pierre and Miquelon,France,46.8852,-56.3159,0,0,0,0,0,0,0
,South Sudan,6.877,31.307,0,0,0,0,10,38,46
,Western Sahara,24.2155,-12.8858,0,0,0,0,1,1,1
,Sao Tome and Principe,0.1864,6.6131,0,0,0,0,12,13,15
,Yemen,15.552727,48.516388,0,0,0,2,80,312,493
,Comoros,-11.6455,43.3333,0,0,0,0,2,7,7
,Tajikistan,38.861,71.2761,0,0,0,0,47,52,60
,Lesotho,-29.61,28.2336,0,0,0,0,0,0,13
